    feature,importance
within_1km_hawker,1.6829683966107148e-05
nearest_supermarket_name_GT21,1.6572492089161032e-05
month_2022-08-01,1.6410036989396105e-05
flat_model_Model A-Maisonette,1.6343618185495187e-05
nearest_hospital_name_Jurong Community Hospital,1.62937591341755e-05
nearest_supermarket_name_SS65,1.6057333239558546e-05
month_2020-11-01,1.6023048516238887e-05
nearest_bus_interchange_name_Serangoon Interchange,1.5992820511088088e-05
nearest_top_secondary_name_Maris Stella High School (Secondary),1.5973737300139915e-05
amenity_cluster_category_Light,1.5924581991953645e-05
nearest_supermarket_name_FP96,1.5896375188527122e-05
nearest_top_secondary_name_St Andrew’s Secondary School,1.5697730682230937e-05
town_CHOA CHU KANG,1.5635709954050645e-05
street_name_MARSILING DR,1.550944095421222e-05
nearest_poly_name_Singapore Polytechnic,1.5393153283018738e-05
nearest_top_primary_name.1_Red Swastika School,1.538434939832437e-05
nearest_bus_interchange_name_Punggol Interchange,1.5379871330619723e-05
nearest_top_primary_name.1_Nan Chiau Primary School,1.530595882407395e-05
within_500m_hawker,1.5182337395490076e-05
month_2024-04-01,1.5172273436566561e-05
nearest_top_secondary_name_Nan Hua High School,1.4997290750296235e-05
month_2021-02-01,1.4949356561123807e-05
nearest_mall_name_Paya Lebar Square,1.4893697838318951e-05
month_2024-02-01,1.4844937494218343e-05
within_2km_mall,1.4822339429436392e-05
month_2023-03-01,1.4812357253937296e-05
nearest_jc_name_Temasek Junior College,1.4797164213121263e-05
nearest_hospital_name_Singapore General Hospital,1.4698665809260783e-05
nearest_top_primary_name_Princess Elizabeth Primary School,1.4564809703479626e-05
nearest_supermarket_name_FP43,1.4515698706461956e-05
nearest_hospital_name_Crawfurd Hospital,1.448704800707383e-05
month_2022-04-01,1.4481436222716875e-05
street_name_JLN BAHAGIA,1.4410566877062307e-05
month_2024-05-01,1.439795039424722e-05
street_name_HOUGANG ST 31,1.4327827886959323e-05
month_2023-11-01,1.4206588228462437e-05
nearest_mrt_name_Potong Pasir,1.4037089750622332e-05
street_name_TOH YI DR,1.3979550711581624e-05
nearest_top_primary_name_Red Swastika School,1.3885890629743107e-05
nearest_top_primary_name.1_Catholic High School (Primary),1.3882274311632245e-05
nearest_supermarket_name_SS20,1.3807684247953442e-05
month_2021-09-01,1.3757840898795908e-05
month_2022-07-01,1.3590574822174091e-05
month_2024-11-01,1.3583488074779836e-05
nearest_supermarket_name_FP70,1.3484295751315551e-05
month_2021-10-01,1.3434792867142447e-05
street_name_YUAN CHING RD,1.342756280336059e-05
nearest_top_primary_name.1_Pei Chun Public School,1.3410624868396752e-05
nearest_top_primary_name_Pei Chun Public School,1.3293707681903426e-05
nearest_top_primary_name_Nan Chiau Primary School,1.3274698873564389e-05
month_2022-05-01,1.3263176455097633e-05
street_name_TAMPINES ST 82,1.3223181933937852e-05
month_2023-04-01,1.299599839755654e-05
nearest_top_primary_name_Catholic High School (Primary),1.298166707969315e-05
month_2018-08-01,1.2915880431921613e-05
month_2022-06-01,1.2842833880212184e-05
month_2022-12-01,1.283573427761732e-05
month_2023-02-01,1.2778767227899647e-05
month_2023-12-01,1.2653824448106268e-05
street_name_BOON TIONG RD,1.2525725425693482e-05
month_2021-06-01,1.2189236769212761e-05
month_2023-10-01,1.2135479639706443e-05
nearest_supermarket_name_FP47,1.2114914945592803e-05
nearest_poly_name_Republic Polytechnic,1.2033899107083368e-05
month_2022-10-01,1.196187042033992e-05
nearest_supermarket_name_FP53,1.1954245230437188e-05
month_2021-04-01,1.1933278986681626e-05
month_2020-10-01,1.1889548830799449e-05
month_2023-09-01,1.1880776448465125e-05
